date,pm25,pm10,o3,no2,so2,co,AQI
10/1/2023,159,109,45,21,2,7,159
10/2/2023,153,110,42,23,2,10,153
10/3/2023,151,121,45,25,3,9,151
10/4/2023,159,142,57,25,5,10,159
10/5/2023,171,143,47,27,5,10,171
10/6/2023,171,128,29,20,3,8,171
10/7/2023,162,113,23,15,5,8,162
10/8/2023,150,104,29,13,4,6,150
10/9/2023,144,124,20,34,17,8,144
10/10/2023,159,127,38,23,9,8,159
10/11/2023,160,140,50,25,8,9,160
10/12/2023,170,168,62,27,10,11,170
10/13/2023,185,162,50,22,11,8,185
10/14/2023,183,142,52,20,7,8,183
10/15/2023,170,130,26,12,7,6,170
10/16/2023,157,86,32,15,12,6,157
10/17/2023,134,83,39,12,16,8,134
10/18/2023,142,88,56,13,10,6,142
10/19/2023,150,113,77,10,8,9,150
10/20/2023,177,129,64,20,10,9,177
10/21/2023,186,152,57,21,12,11,186
10/22/2023,224,143,37,17,9,9,224
10/23/2023,218,127,43,16,12,8,218
10/24/2023,186,143,47,20,9,9,186
10/25/2023,210,137,50,22,7,8,210
10/26/2023,199,159,59,25,12,9,199
10/27/2023,213,246,65,29,8,11,246
10/28/2023,242,188,76,23,11,13,242
10/29/2023,248, , , , , ,248
7/1/2023,101,57,33,11,5,5,101
7/2/2023,120,88,74,17,5,8,120
7/3/2023,160,82,49,14,5,7,160
7/4/2023,153,61,40,12,5,6,153
7/5/2023,138,48,46,11,3,5,138
7/6/2023,111,53,27,11,4,4,111
7/7/2023,118,39,39,15,2,7,118
7/8/2023,100,34,127,7, ,3,100
7/9/2023,103,36,54,16, ,8,103
7/10/2023,91,58,35,14, ,6,91
7/11/2023,125,53,52,13, ,6,125
7/12/2023,117,58,89,11, ,5,117
7/13/2023,125, , , , , ,125
7/21/2023,133,63,37,8,9,4,133
7/22/2023,107,56,20,9,25,4,107
7/23/2023,96,58,19,8,13,4,96
7/24/2023,104,71, ,8,27,5,104
7/25/2023,148,43,16,13,50,5,148
7/26/2023,99,60,26,15, ,6,99
7/27/2023,123,50,29,14, ,5,123
7/28/2023,102,25,21,8, ,4,102
7/29/2023,65,47, ,11, ,5,65
7/30/2023,90,64,24,12, ,5,90
7/31/2023,132,62,11,9,2,3,132
8/1/2023,107,64,20,8,2,4,107
8/2/2023,111,65,20,8,13,4,111
8/3/2023,114,65,39,12,15,6,114
8/4/2023,128,55,18,14,7,8,128
8/5/2023,118,72,19,9,2,4,118
8/6/2023,127,78,9,8,8,3,127
8/7/2023,137,90,15,9,6,3,137
8/8/2023,143,98,16,10,8,4,143
8/9/2023,151,92,19,10,7,3,151
8/10/2023,142,103,6, ,7,4,142
8/11/2023,150,89,13,250,9,7,150
8/12/2023,143,72,14, ,7, ,143
8/13/2023,118,81,31,18,7,4,118
8/14/2023,137,76,15, ,7,4,137
8/15/2023,153,93,31,11,6,6,153
8/16/2023,153,103,17,14,7,3,153
8/17/2023,163,109,24,15,6,6,163
8/18/2023,109,96,28,14,6,6,109
8/19/2023,141,60,61, ,15,3,141
8/20/2023,126,65,24,9,47,2,126
8/21/2023,141,71,16,3,18,3,141
8/22/2023,133,46,11,2,6,4,133
8/23/2023,89,64,15,1,3,2,89
8/24/2023,115,93,11,3,5,4,115
8/25/2023,135,116,17,3,2,4,135
8/26/2023,163,140,17,4,2,2,163
8/27/2023,175,119,18,7,3,4,175
8/28/2023,162,118,18,12,5,6,162
8/29/2023,168,108,21,16,6,7,168
8/30/2023,163,105,21,16,3,7,163
8/31/2023,161,106,16,13,6,6,161
9/1/2023,159,97,18,13,8,5,159
9/2/2023,150,104,15,13,11,5,150
9/3/2023,155,100,29,14,9,5,155
9/4/2023,153,85,67,25,10,7,153
9/5/2023,145,91,33,23,7,7,145
9/6/2023,108,65,53,18,10,7,108
9/7/2023,111,54,33,12,8,5,111
9/8/2023,85,29,13,7,7,4,85
9/9/2023,54,29,13,7,11,4,54
9/10/2023,50,57,24,18,12,7,57
9/11/2023,90,70,41,20,6,9,90
9/12/2023,118,76,48,15,7,9,118
9/13/2023,137,83,50,19,8,9,137
9/14/2023,150,70,33,31,8,8,150
9/15/2023,112,59,15,28,9,7,112
9/16/2023,97,55,15,9,5,4,97
9/17/2023,84,48,17,8,11,4,84
9/18/2023,61,59,22,12,8,6,61
9/19/2023,87,79,41,18,12,8,87
9/20/2023,124,80,34,14,11,7,124
9/21/2023,125,83,38,19,9,8,125
9/22/2023,128,77,22,17,6,7,128
9/23/2023,123,87,31,17,2,12,123
9/24/2023,138,96,69,23,6,11,138
9/25/2023,153,107,48,22,3,9,153
9/26/2023,161,101,31,19,3,9,161
9/27/2023,146,110,43,20,3,8,146
9/28/2023,153,120,59,23,2,11,153
9/29/2023,162,113,44,21,1,8,162
9/30/2023,159,114,43,21,1,8,159
4/1/2023,127,74,36,13,5,7,127
4/2/2023,138,98,51,19,4,8,138
4/3/2023,165,72,39,16,5,5,165
4/4/2023,130,106,35,23,4,6,130
4/5/2023,161,100,30,20,2,5,161
4/6/2023,144,92,33,22,3,6,144
4/7/2023,144,113,43,23,4,7,144
4/8/2023,162,130,38,27,4,8,162
4/9/2023,186,131,38,28,4,10,186
4/10/2023,177,184,36,31,10,11,184
4/11/2023,216,148,30,26,6,8,216
4/12/2023,180,159,35,28,6,9,180
4/13/2023,185,192,34,30,8,9,192
4/14/2023,204,157,39,35,4,9,204
4/15/2023,184,134,25,31,4,9,184
4/16/2023,168,146,37,25,3,7,168
4/17/2023,174,146,24,23,2,8,174
4/18/2023,177,137,38,16,2,6,177
4/19/2023,186,109,29,15,3,5,186
4/20/2023,153,98,35,15,2,5,153
4/21/2023,153,92,43,14,3,4,153
4/22/2023,147,79,28,9,2,3,147
